locationId,location,entity,parameter,value,local_time,sensor_lat,sensor_lon
1385,Windsor Downtown,Governmental Organization,pm25,125.0,2023-06-06 19:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,21.0,2023-06-06 18:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,14.0,2023-06-06 17:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,18.0,2023-06-06 16:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,21.0,2023-06-06 15:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,24.0,2023-06-06 14:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,28.0,2023-06-06 13:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,30.0,2023-06-06 12:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,36.0,2023-06-06 11:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,48.0,2023-06-06 10:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,50.0,2023-06-06 09:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,48.0,2023-06-06 08:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,50.0,2023-06-06 07:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,44.0,2023-06-06 06:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,41.0,2023-06-06 05:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,37.0,2023-06-06 04:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,35.0,2023-06-06 03:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,33.0,2023-06-06 02:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,31.0,2023-06-06 01:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,30.0,2023-06-06 00:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,29.0,2023-06-05 23:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,28.0,2023-06-05 22:00:00-04:00,42.3144,-83.0433
1385,Windsor Downtown,Governmental Organization,pm25,29.0,2023-06-05 21:00:00-04:00,42.3144,-83.0433
7001,DP4TH,Governmental Organization,pm25,63.8,2023-06-06 19:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,16.3,2023-06-06 18:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,15.6,2023-06-06 17:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,18.5,2023-06-06 16:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,23.8,2023-06-06 15:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,24.5,2023-06-06 14:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,31.1,2023-06-06 13:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,31.0,2023-06-06 12:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,37.5,2023-06-06 11:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,47.2,2023-06-06 10:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,48.6,2023-06-06 09:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,46.8,2023-06-06 08:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,47.1,2023-06-06 07:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,43.8,2023-06-06 06:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,41.1,2023-06-06 05:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,39.2,2023-06-06 04:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,37.8,2023-06-06 03:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,34.6,2023-06-06 02:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,31.5,2023-06-06 01:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,33.6,2023-06-06 00:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,26.6,2023-06-05 23:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,26.4,2023-06-05 22:00:00-04:00,42.312158000000004,-83.091943
7001,DP4TH,Governmental Organization,pm25,28.3,2023-06-05 21:00:00-04:00,42.312158000000004,-83.091943
2143,DETROIT-SW,Governmental Organization,pm25,68.6,2023-06-06 19:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,16.1,2023-06-06 18:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,15.5,2023-06-06 17:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,20.7,2023-06-06 16:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,22.7,2023-06-06 15:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,26.7,2023-06-06 14:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,29.5,2023-06-06 13:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,30.1,2023-06-06 12:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,36.7,2023-06-06 11:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,48.9,2023-06-06 10:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,48.2,2023-06-06 09:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,47.4,2023-06-06 08:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,49.1,2023-06-06 07:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,46.9,2023-06-06 06:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,43.1,2023-06-06 05:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,39.3,2023-06-06 04:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,38.5,2023-06-06 03:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,36.2,2023-06-06 02:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,34.8,2023-06-06 01:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,30.4,2023-06-06 00:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,30.3,2023-06-05 23:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,27.7,2023-06-05 22:00:00-04:00,42.3042,-83.1072
2143,DETROIT-SW,Governmental Organization,pm25,27.7,2023-06-05 21:00:00-04:00,42.3042,-83.1072
7002,MILITARY PARK,Governmental Organization,pm25,39.3,2023-06-06 19:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,17.3,2023-06-06 18:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,15.7,2023-06-06 17:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,19.5,2023-06-06 16:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,22.8,2023-06-06 15:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,26.7,2023-06-06 14:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,29.6,2023-06-06 13:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,30.7,2023-06-06 12:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,37.8,2023-06-06 11:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,49.0,2023-06-06 10:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,49.5,2023-06-06 09:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,47.9,2023-06-06 08:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,50.1,2023-06-06 07:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,47.6,2023-06-06 06:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,44.0,2023-06-06 05:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,39.7,2023-06-06 04:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,37.9,2023-06-06 03:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,35.5,2023-06-06 02:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,33.7,2023-06-06 01:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,31.7,2023-06-06 00:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,29.9,2023-06-05 23:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,28.8,2023-06-05 22:00:00-04:00,42.312078,-83.10346899999999
7002,MILITARY PARK,Governmental Organization,pm25,29.8,2023-06-05 21:00:00-04:00,42.312078,-83.10346899999999
